City,Cost Rank,Quality Rank
Tunis,209,114
Windhoek,208,131
Tashkent,206,203
Bishkek,206,206
Karachi,205,201
Banjul,204,179
Tbilisi,203,187
Skopje,202,161
Lusaka,201,150
Islamabad,200,194
Gaborone,199,141
Managua,198,180
Sarajevo,197,156
Tegucigalpa,196,189
Algiers,194,185
Minsk,194,188
La Paz,193,156
Johannesburg,192,96
Yerevan,191,170
Brasilia,190,107
Almaty,189,177
Cape Town,187,95
Kolkata,185,160
Blantyre,185,181
Nouakchott,184,221
Belgrade,183,139
Addis Ababa,182,209
Sofia,180,116
Colombo,177,138
Monterrey,177,113
Kampala,177,172
Kigali,176,191
Bucharest,174,109
Port Louis,173,83
Baku,172,195
Bengaluru,171,149
Budapest,170,76
Warsaw,169,82
San Salvador,168,175
Santo Domingo,167,135
Limassol,166,86
Harare,165,210
Tirana,163,175
Ouagadougou,162,216
Maputo,161,183
Rabat,159,117
Leipzig,158,60
Vilnius,157,81
Istanbul,156,130
Lome,154,203
Buenos Aires,153,91
Zagreb,152,98
Ottawa,151,19
Kingston,150,152
Belfast,149,64
Ljubljana,148,74
Calgary,146,32
Tallinn,146,86
Quito,145,122
Kuala Lumpur,144,85
Chennai,143,151
Bamako,142,220
Glasgow,141,48
Cotonou,140,182
Bratislava,139,80
Athens,138,89
Aberdeen,134,57
Santiago,134,93
Stockholm,133,23
Stuttgart,130,27
Birmingham,129,49
Brisbane,126,35
Adelaide,126,29
Cairo,126,177
Lyon,123,40
Wellington,123,15
Havana,123,192
Guatemala City,122,158
Casablanca,121,124
Mexico City,120,129
Canberra,118,30
Bandar Seri Begawan,118,106
Niamey,116,218
Hanoi,116,155
Luanda,115,199
Kuwait City,113,126
Riga,113,90
Lima,112,124
Ho Chi Minh City,111,153
Phnom Penh,109,196
Doha,109,110
Hamburg,106,19
Lisbon,106,37
Jeddah,104,168
Perth,104,21
Auckland,103,3
Barcelona,102,43
New Delhi,101,162
Melbourne,99,17
Toronto,98,16
Prague,97,69
Muscat,96,105
Nairobi,95,186
Vancouver,94,3
Pittsburgh,91,59
Panama City,90,97
Conakry,89,222
Montevideo,88,78
Madrid,87,46
Jakarta,86,142
Yangon,83,203
Luxembourg,83,18
St. Louis,83,70
Berlin,82,13
Detroit,80,72
Manila,80,137
Brussels,78,28
Frankfurt,76,7
Oslo,76,25
Dakar,75,163
Helsinki,74,31
Munich,72,3
Douala,70,197
Minneapolis,69,61
Abuja,68,213
San Juan,66,92
Sydney,66,11
Rome,65,56
Amsterdam,64,11
Shenyang,63,158
Atlanta,60,64
Mumbai,60,154
St. Petersburg,59,174
Djibouti,58,189
Accra,57,165
Yaounde,56,193
Seattle,55,46
Vienna,54,1
Manama,52,136
Dallas,52,63
Houston,51,66
Paris,50,39
Bangui,49,230
Milan,47,41
Dublin,46,33
Beirut,45,184
Brazzaville,44,224
Qingdao,43,146
Noumea,42,110
Boston,41,36
Chengdu,40,134
Abu Dhabi,39,78
Miami,37,66
Bangkok,35,133
Nanjing,34,140
Libreville,33,166
Washington,32,53
Riyadh,31,164
Chicago,30,49
Taipei,28,84
Honolulu,28,37
Nagoya,26,62
Dhaka,26,217
Copenhagen,25,8
Kinshasa,24,223
Dubai,23,74
Osaka,22,58
Moscow,21,167
Guangzhou,20,122
London,19,41
Lagos,18,212
Los Angeles,17,66
San Francisco,16,34
Victoria,14,98
Shenzhen,13,132
Tel Aviv,12,104
Seoul,11,77
Beijing,10,120
Geneva,9,9
Bern,8,14
Shanghai,7,103
Singapore,5,25
Tokyo,3,49
Ashgabat,2,211
Hong Kong,1,71